,index,nom_depute,ministere_interrogem,date_publication,question
510,511,M. Stéphane Travert,Transition écologique et solidaire,08/01/2019,"M. Stéphane Travert interroge M. le ministre d'État, ministre de la transition écologique et solidaire sur la transition énergétique dans la Manche. Les objectifs de la PPE récemment présentée permettront de doubler la capacité installée des énergies renouvelables électriques en 2028. Les filières principales permettant d'atteindre l'objectif seront l'hydroélectricité, le solaire photovoltaïque et l'éolien terrestre, puis progressivement l'éolien en mer dont la production augmentera au cours de la seconde période de la PPE. La diversification du mix-électrique se traduira par une décroissance du parc nucléaire, visant l'atteinte d'une part de 50 % dans le mix en 2035. Le département de la Manche est au centre de ce mix électrique. C'est un département clé en ce qui concerne l'énergie nucléaire, l'ouverture prochaine à Flamanville du réacteur nouvelle génération EPR en est une des preuves. Il viendra compléter un dispositif nucléaire bien en place dans ce département. Mais il peut aussi devenir un département clé dans le développement des énergies marines renouvelables. Avec ses 350 kilomètres de côtes, la Manche est un des départements français les plus maritimes, une terre d'accueil idéal pour les EMR. Il a d'ailleurs commencé à s'engouffrer dans cette source de développement économique majeure, via le marché de l'éolien flottant. Mis en avant au début de l'été 2018, à Quimper, par le Président de la République, ce marché est immense et pourvoyeur d'emplois. Ainsi, à Cherbourg, la société LM Wind Power, installée sur le port, a recruté depuis juin 100 employés et démarrera la production de pales d'éoliennes en janvier 2019. Mais cette filière des énergies marines renouvelables ne repose pas que sur l'éolien offshore. D'autres techniques, véritable levier d'une croissance verte promise à un bel avenir, offre une perspective au département de la Manche. Il en est ainsi de l'énergie thermique des mers. Les études économiques menées par Naval Energies montrent que des centrales, produisant de l'électricité mais aussi des coproduits via cette technique, peuvent être rentables, y compris sans subventions publiques. Le développement des EMR doit être une composante majeure du succès de la transition énergétique. Le gisement est considérable, la production d'énergie est plus régulière et importante qu'à terre et ces technologies sont créatrices de nombreux emplois. La Manche, cerné par la mer, a toute sa part à y prendre. Département clé en ce qui concerne la filière de l'énergie nucléaire, il pourrait devenir un département clé dans les énergies marines renouvelables et un véritable démonstrateur dans son seul espace du mix énergétique. Il pourrait ainsi développer, à côté d'une économie marquée par la prépondérance de l'agriculture et de l'agroalimentaire, une spécificité industrielle en devenant « le département de l'énergie », associant sur son territoire les deux piliers énergétiques voulus par l'État : nucléaire et renouvelable. Il lui demande quelle place précise il compte faire aux EMR dans le mix énergétique et le rôle que la Manche peut y jouer."
511,512,M. Jean-Pierre Vigier,Économie et finances,08/01/2019,"M. Jean-Pierre Vigier alerte M. le ministre de l'économie et des finances sur les conséquences dramatiques de la fermeture de l'usine Copirel de Mazeyrat-d'Allier prévue en février 2019. Annoncée le 16 novembre 2018, la fermeture brutale de cette usine du groupe Cofel, qui fabrique des matelas bultex, engendre le licenciement de 82 salariés et plonge autant de familles dans le désarroi le plus total. Les conséquences socio-économiques sont également catastrophiques pour toutes les communes du Langeadois et du Brivadois, ainsi que pour l'ensemble des partenaires économiques qui pouvaient bénéficier de l'activité de cette usine. Aussi, il lui demande de lui indiquer les mesures qu'il compte urgemment prendre afin, d'une part, que l'ensemble de ces salariés, aux compétences techniques reconnues, puissent être reclassés et, d'autre part, que les pouvoirs publics puissent soutenir une nécessaire reconversion de cette usine dans l'intérêt du Langeadois et du Brivadois."
512,513,M. Charles de la Verpillière,Cohésion des territoires et relations avec les collectivités territoriales,08/01/2019,"M. Charles de la Verpillière appelle l'attention de Mme la ministre de la cohésion des territoires et des relations avec les collectivités territoriales sur la nécessité de fixer rapidement les tarifs de raccordement des abonnés aux réseaux publics de fibre optique, en particulier celui déployé par le syndicat intercommunal d'énergie de l'Ain (SIEA). La question posée, qui concerne tous les réseaux d'initiative publique (RIP), quel que soit leur mode de gestion, est celle du prix des raccordements finaux. En effet, les RIP sont, par définition, déployés dans les zones rurales peu denses, ainsi que des zones de montagnes et des territoires frontaliers. L'intervention des équipes chargées des raccordements est donc coûteuse, de l'ordre de 400 euros par prise, contre 250 euros en ville. Or certains FAI nationaux n'admettent pas que les RIP leur facturent plus que 250 euros. La différence avec le coût réel doit alors être comblée par les RIP avec de l'argent public, faute de quoi, les négociations n'aboutissent pas et l'avancement du Plan France Très Haut Débit s'en trouve retardé. Ce frein pourrait être levé si le raccordement final faisait l'objet d'une tarification par l'État. Or la consultation que l'ARCEP devait lancer à ce sujet en 2018 a été repoussée à 2019. Face à l'urgence d'aboutir à une tarification équitable reflétant les coûts réels de raccordement en zone peu dense, il lui demande donc quelles sont les mesures que le Gouvernement compte prendre à cet égard."
513,514,M. Rémi Delatte,Intérieur,08/01/2019,"M. Rémi Delatte interroge M. le ministre de l'intérieur sur les conséquences de la sécheresse, en particulier pour les constructions en sols argileux. Le retrait-gonflement des sols argileux peut entraîner en effet des désordres importants tels que fissures dans les murs et dalles des maisons, fragilisant la structure des édifices pouvant conduire à des effondrements. Les conséquences financières pour les propriétaires de maisons individuelles sont conséquentes et s'ajoutent aux annuités d'emprunts contractés pour l'achat de leur bien. En Côte d'Or, dans sa circonscription, plusieurs situations de ce type sont d'ores et déjà repérées. Il souhaite connaître les mesures qui seront prises afin d'accélérer et simplifier les procédures d'indemnisation des dégâts causés par la rétraction des sols argileux due aux épisodes de canicule d'une part, et connaître les dispositions particulières envisagées dans le cas où en l'absence d'une reconnaissance de catastrophe naturelle, la garantie décennale ne s'applique plus d'autre part."
514,515,Mme Bérengère Poletti,Agriculture et alimentation,08/01/2019,"Mme Bérengère Poletti interroge M. le ministre de l'agriculture et de l'alimentation sur la situation financière des abattoirs de Rethel dans les Ardennes. Repris en 2017 par le collectif « Viandes et Territoire », cet abattoir dont dépend l'ensemble de la filière agricole d'élevage du département et de la région, se retrouve aujourd'hui confronté à un problème de trésorerie qui ralentit son activité et menace depuis plusieurs mois les emplois de pas moins de 39 salariés. Sans le moindre accompagnement bancaire, les outils de l'abattoir ont été actualisés, les procédures ont été revues, le niveau sanitaire a été approuvé, le potentiel commercial a été reconquis, le volume de chiffre d'affaires a atteint le volume mensuel de près de 800 000 euros par mois confirmant ainsi la réussite indéniable de cette première expérience. Face aux perspectives offertes par cette croissance, le business plan a été révisé et approuvé par l'ensemble des partenaires, unanimement convaincus du potentiel de cette alternative crédible de retour aux valeurs de proximité, de promotion d'une filière courte, et de traçabilité du produit. L'enjeu depuis était de réunir de nouveaux acteurs financiers et investisseurs publics capables d'apporter la trésorerie nécessaire permettant de générer une augmentation du chiffre d'affaires mensuel comprise entre 1,2 million d'euros et 1,5 million d'euros, par lequel « Viandes et Territoires » stabilisera de façon pérenne la situation économique de l'abattoir dans un horizon de cinq à six mois. Sous réserve de la caution de la BPI, plusieurs banques étaient disposées à apporter ensemble des fonds complétant l'investissement privé et l'investissement public de la région Grand-Est. Toutefois, la BPI demande que sa caution soit contre-garantie par la région, ce qui la mettrait dans l'impossibilité future de financer ce projet. Ainsi, l'abattoir se retrouve dans un cercle vicieux de surenchère de conditionnalité des investisseurs où ces solutions, travaillées depuis le printemps 2018, ne peuvent plus supporter de délais supplémentaires. Si plusieurs interventions ont été faites depuis, avec notamment le soutien de l'État, l'urgence n'a jamais été aussi grande et une société responsable et prometteuse sur le territoire ardennais est mise en péril. C'est pourquoi, elle lui demande à nouveau d'intervenir pour assurer à l'abattoir de Rethel et ses salariés les garanties indispensables à la poursuite de son activité."
515,516,Mme Constance Le Grip,Transports,08/01/2019,"Mme Constance Le Grip appelle l'attention de Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, sur l'état d'avancement des réflexions du Gouvernement sur le projet d'enfouissement de la route nationale 13, sur le segment de l'avenue Charles-de-Gaulle, située à Neuilly-sur-Seine. Ce sont plus de 160 000 véhicules qui empruntent chaque jour cette route nationale, composée de 2x4 voies et de deux contre-allées latérales, soit un trafic comparable aux autoroutes A1 et A3, mais au cœur d'un centre-ville densément peuplé, ce qui en fait une véritable « autoroute urbaine », l'autoroute urbaine la plus fréquentée et la plus polluée de France. En effet, cet axe, reliant les deux pôles stratégiques que sont La Défense et porte Maillot, a fait et fait régulièrement l'objet de projets de réaménagement, compte tenu des enjeux et des problématiques qu'il pose : qualité de l'air, saturation des voies, nuisances sonores, sécurité routière. Entre 1988 et 1992 un quart de l'axe a été enfoui sous une dalle urbaine baptisée « couverture Madrid ». Selon la commission particulière du débat public sur le projet de dénivellation et couverture de la RN 13 à Neuilly-sur-Seine, cet enfouissement a contribué à améliorer la fluidité du trafic, l'atténuation de la coupure urbaine, la réduction des nuisances sonores et le nombre des accidents corporels. La décision de la municipalité de Neuilly-sur-Seine de fermeture à la circulation automobile des contre-allées de cet axe, prise le 28 juin 2018, va devenir prochainement effective. La fermeture de ces voies parallèles entraînera un report du trafic sur l'axe principal. En effet, les contre-allées représentent 10 à 15 % du trafic journalier de cet axe. Par ailleurs, une étude d'AirParif, réalisée sur l'axe Charles-de-Gaulle, publiée en juin 2018, révélait un nombre de particules fines particulièrement élevé. La fermeture de ces voies parallèles et le rétrécissement des 8 voies de circulation existantes entraîneront forcément une congestion accrue sur l'axe principal et donc une détérioration de la qualité de l'air aux abords immédiats, accroissant le risque sanitaire déjà existant. La dangerosité de la circulation sur cette avenue, en particulier pour les motards, sur des voies plus étroites, sera également accrue. Pour répondre à cette situation, qui va devenir de plus en plus critique dans les prochaines années, les transports en commun existants et à venir resteront insuffisants. Elle lui demande donc si le Gouvernement entend achever, ou tout du moins, poursuivre les travaux d'enfouissement de cet axe, initié il y trente ans."
516,517,M. Olivier Marleix,Économie et finances,08/01/2019,"M. Olivier Marleix attire l'attention de M. le ministre de l'économie et des finances sur la situation de l'entreprise Konecranes à Vernouillet. Fabricant de palans électriques et d'outils de levage, l'entreprise Konecranes, groupe finlandais qui réalise un chiffre d'affaires global d'environ 4 milliards d'euros, a annoncé le 8 novembre 2018 que le site de Vernouillet n'était pas retenu pour la fabrication des palans électriques nouvelle génération. Cette annonce intervient après une mise en concurrence du site par le groupe avec deux autres sites de production en Allemagne et en Tchéquie. Les raisons qui ont poussé Konecranes à écarter Vernouillet sont difficilement compréhensibles, tout comme la sincérité de la démarche, tant cette mise en concurrence avec la Tchéquie, dont les coûts salariaux sont bien plus faibles, et l'Allemagne voisine où le groupe dispose d'un établissement majeur, éliminait d'office la France. Or cette décision revient sans doute à condamner le site alors que son carnet de commandes est plein pour 2019 et menace potentiellement 300 emplois (sous-traitants compris). L'incertitude de cet entre-deux et la façon peu loyale de procéder de l'entreprise sont difficiles à vivre pour les salariés. Aussi, il souhaiterait connaître les mesures qui vont être prises par le Gouvernement pour obtenir de l'entreprise de la transparence sur la réalité de ses intentions et des engagements fermes pour le maintien de l'emploi sur le site."
517,518,M. Sylvain Brial,Éducation nationale et jeunesse,08/01/2019,"M. Sylvain Brial rappelle à M. le ministre de l'éducation nationale et de la jeunesse que l'enseignement primaire, sur le territoire des iles de Wallis-et-Futuna est confié à la direction de l'enseignement catholique. Le Gouvernement affirme légitimement une grande ambition pour le primaire ce qui est particulièrement légitime sur un territoire aux nombreux problèmes. Les programmes sont plus exigeants, avec la maîtrise des TIGE ou encore plus de travaux sur les cultures locales. Cela passe notamment par une hausse du niveau de recrutement des enseignants à BAC plus 5. Ce niveau de qualification doit également permettre aux enseignants de nouvelles perspectives de carrière, notamment avec l'accès au grade de professeur des écoles ou encore l'accès à de nouveaux concours internes de l'éducation nationale. Aujourd'hui, les enseignants du primaire sur Wallis, bien qu'étant recrutés à BAC plus 5, bien qu'exerçant une mission d'État sur un territoire où il n'y a pas de concurrence entre le privé et le public, ne peuvent avoir ces perspectives. Il lui demande de prendre les dispositions permettant aux enseignants du primaire de Wallis- et-Futuna, ayant les qualifications appropriées, de pouvoir se présenter aux concours réservés aux fonctionnaires. Il lui demande également que la grille des rémunérations soit comparable à celle de l'enseignement publique, comme c'est le cas en Polynésie ou en Nouvelle-Calédonie, Il lui demande enfin que le territoire de Wallis-et-Futuna, du fait des problèmes rencontrés et de la faiblesse des résultats obtenus, puisse bénéficier du statut de REP+."
518,519,M. Nicolas Turquois,Transition écologique et solidaire,08/01/2019,"M. Nicolas Turquois attire l'attention de M. le ministre d'État, ministre de la transition écologique et solidaire, sur la sécurité des bouteilles de gaz et notamment par rapport à l'intervention des sapeurs-pompiers en cas d'incendie. Dans ces conditions, la température monte très vite autour de 600 degrés et la pression du gaz à l'intérieur de la bouteille atteint 50 bars avant d'exploser. Les habitations sont concernées mais aussi les véhicules avec la présence régulière de bouteilles dans les camping-cars ou dans de simples voitures utilisées pour aller se réapprovisionner en gaz. L'installation d'une soupape thermo-fusible, qui permettrait la libération du gaz dès une centaine de degrés, éliminerait le danger lié à l'explosion. Un dispositif analogue a été installé sur les véhicules roulant au GPL et plusieurs pays voisins ont d'ores et déjà adopté de tels dispositifs. Il souhaiterait connaître les raisons qui empêchent cette évolution réglementaire en France et les moyens d'y remédier à l'avenir. La vie des sapeurs-pompiers mérite que ce sujet très technique soit aussi une priorité."
519,520,Mme Marguerite Deprez-Audebert,Transition écologique et solidaire,08/01/2019,"Mme Marguerite Deprez-Audebert attire l'attention de M. le ministre d'État, ministre de la transition écologique et solidaire, sur le passage au gaz H dans les Hauts-de-France. Les réseaux de gaz des Hauts de France sont actuellement alimentés en gaz B, pour bas pouvoir calorifique, par un gisement aux Pays-Bas en fin d'exploitation. Aussi, pour assurer la continuité d'approvisionnement après 2029, il est nécessaire de convertir le réseau de gaz B en gaz à haut pouvoir calorifique, dit gaz H, qui alimente actuellement le reste du territoire français. Outre les modifications des réseaux de transport et de distribution, ce projet d'ampleur nécessite une intervention chez chaque client. Du côté des consommateurs, professionnels comme particuliers, il va également falloir procéder à quelques modifications : une adaptation de la pression devra être effectuée, tout comme un réglage des appareils. La phase pilote appelée opération « Tulipe » est en cours de démarrage : les premiers courriers sont parvenus aux clients concernés. Cette phase pilote se terminera en 2020 et concernera 85 000 clients de Doullens dans la Somme, au Dunkerquois dans le département du Nord, en passant par le Ternois, dans le Pas-de-Calais. Certains appareils devront d'ailleurs être changés, on estime de 2 à 5 % les appareils vieux de plus de quarante ans. C'est donc chez les personnes âgées ou dans les logements non rénovés et où résident les plus précaires, que l'on trouvera ces matériels ne pouvant supporter le changement de composition du gaz. Afin de lutter contre la précarité énergétique et d'apporter une réponse solidaire et juste aux besoins de la transition écologique, elle lui demande qui paiera le réglage et les changements d'appareil et si c'est-ce bien le concessionnaire, par le biais de la péréquation de solidarité nationale, et ce dès les phases de test qui débutent en 2019."
520,521,Mme Justine Benin,"Enseignement supérieur, recherche et innovation",08/01/2019,"Mme Justine Benin interroge Mme la ministre de l'enseignement supérieur, de la recherche et de l'innovation sur la plateforme « Parcoursup ». La plateforme « Parcoursup » a rouvert ses portes le 20 décembre 2018. Le coup d'envoi est lancé pour plusieurs centaines de milliers d'étudiants qui n'auront que quelques mois pour décider de leur avenir dans l'enseignement supérieur. Ce sont 27 000 jeunes supplémentaires qui ont pu accéder à l'enseignement supérieur par rapport à l'année 2017. On ne peut que se réjouir des 21 % d'élèves boursiers en plus, le signe que le pays accorde encore de l'importance à l'égalité des chances. Néanmoins, au même moment, à environ 8 000 kilomètres de Paris, alors que « Parcoursup » était de nouveau sur les rails, des lycéens de Guadeloupe se sont mobilisés pour crier leur inquiétude. Il convient d'écouter la jeunesse. C'est un devoir, parce qu'ils n'ont plus d'espoir en leur avenir. Et aussi parce que la confiance qu'ils avaient dans l'école de la République s'est effondrée. C'est pourquoi, il faut être en capacité de les remettre sur le chemin. Ce chemin ne saurait bien sûr passer par les violences, les dégradations des matériels et les injures aux personnes détentrices de l'autorité dans le pays. Mais il faut absolument considérer leurs inquiétudes, leur angoisse ou leur résignation. Car ces jeunes se sentent, à juste titre, délaissés, isolés, voire incompris. Et c'est compréhensible ! Comment ne pas l'être quand on voit qu'un jeune garçon de Guadeloupe a d'office moins de chance d'accéder à une formation diplômante qu'un jeune d'Île-de-France ? Comment ne pas l'être quand une jeune fille de Mayotte doit se résigner à renoncer à une formation, faute de ressources ? Ces jeunes sont les forces vives du pays. L'avenir de la Guadeloupe, l'avenir des outre-mer et l'avenir de la France toute entière, exige que des réponses précises leur soient apportées. Il convient de ne pas laisser cette jeunesse inquiète : elle doit disposer des moyens de s'émanciper par la formation, les études et le travail. Il faut leur confier les clés de leur avenir, pour qu'ils incarnent la France de demain. Elle lui demande, au nom de la devise de la République française, quels moyens elle entend mettre en œuvre pour que les élèves des outre-mer bénéficient des mêmes chances que les élèves de métropole et quelle évaluation et quelles propositions elle peut avancer pour réconcilier les jeunes d'outre-mer avec l'avenir du pays."
521,522,Mme Michèle Victory,Culture,08/01/2019,"Mme Michèle Victory interroge M. le ministre de la culture sur la baisse de la participation de l'État au fonctionnement de l'école départementale de musique et de danse de l'Ardèche. Ce projet ambitieux a permis de regrouper 134 communes, 16 antennes lieux de cours, 1 488 élèves et 107 agents sur un territoire complexe où se côtoient des communes très rurales en montagne et d'autres, en vallée du Rhône. Malgré sa belle réussite des difficultés de gouvernance liées à la structure et au coût de fonctionnement élevé qu'une telle structure exige, l'école départementale est aujourd'hui face à une crise financière grave qui met en péril sa pérennité et par la même, l'ambition d'une formation artistique à la hauteur des enjeux de développement des territoires ruraux et péri-urbains. La participation de l'État qui était de 233 000 euros en 2011 n'a cessé de baisser pour atteindre 10 000 euros. Cette baisse de 96 % en 7 ans, qui a été justifiée par un résultat d'exercice négatif, s'est accompagnée en 2018 d'une quasi suppression des aides de la région Auvergne-Rhône-Alpes (de 101 000 en 2011 à 2 000 euros en 2018). Dans le même temps, les élus ont veillé à baisser le montant des dépenses, imposant des mesures sévères pour les salariés, mesures qui cristallisent le mécontentement des personnels. Seul le conseil départemental de l'Ardèche témoigne de son engagement sans faille depuis 2001, en augmentant sa subvention de 1 293 000 euros à 1 400 000 euros en 2018. Aussi, elle souhaiterait connaître les engagements du ministère de la culture sur ce sujet, symbolique d'une culture qu'on fait aujourd'hui disparaître des territoires ruraux."
522,523,Mme Marie-Noëlle Battistel,Solidarités et santé (Mme la secrétaire d'État auprès de la ministre),08/01/2019,Mme Marie-Noëlle Battistel attire l'attention de Mme la secrétaire d'État auprès de la ministre des solidarités et de la santé sur la reconnaissance des travailleurs de l'amiante.
523,524,M. Christophe Naegelen,Solidarités et santé,08/01/2019,"M. Christophe Naegelen interroge Mme la ministre des solidarités et de la santé sur la qualité des services et des infrastructures de santé dans la troisième circonscription des Vosges. Suite au courrier qu'il lui a adressé le 17 octobre 2018, il souhaiterait avoir confirmation que l'hôpital de Remiremont sera classé comme établissement spécialisé dans le cadre du plan « Ma Santé 2022 » avec un maintien d'un équilibre économique et social, aussi bien dans ses services (maternité en niveau 2A, urgences 24h/24 et sept jours sur sept, répartition des services de chirurgie) que dans ses ressources humaines avec le maintien des emplois sur site. De plus, il souhaiterait lui soumettre l'idée de développer cet hôpital, par exemple avec la création d'un centre spécialisé dans la maladie de Lyme. Enfin, dans le département des Vosges, la problématique de la désertification médicale rurale est prégnante comme en témoigne la ville d'Eloyes de 3 000 habitants qui, à ce jour et après quatre mois de recherche, n'a toujours pas de médecin, ou encore la commune de Saint-Nabord où le dernier médecin prend sa retraite à compter du 31 décembre 2018. Ce ne sont que deux exemples, parmi d'autres communes dans la même situation, qui révèlent un sentiment d'abandon de la part de l'État, du ministère de la santé et de ses représentants sur le territoire."
524,525,M. Pierre-Yves Bournazel,Intérieur,08/01/2019,"M. Pierre-Yves Bournazel interroge M. le ministre de l'intérieur sur une nécessaire réforme structurelle de l'organisation de la sécurité dans la capitale. Le 9 novembre 2018, le Conseil d'État a condamné la ville de Paris et l'État pour « carence fautive » en matière de salubrité et de sécurité dans le quartier Château-Rouge. Le Conseil d'État a donné raison aux habitants qui se mobilisent depuis des années pour l'amélioration de leur qualité de vie. Le mérite en revient à l'association « La Vie Dejean », qui a porté l'action en justice. Ces Parisiennes et ces Parisiens ont légitimement le droit à la même tranquillité, à la même propreté des rues et à la même diversité commerciale que dans le reste de la capitale. Le renforcement de l'action de la préfecture depuis 2017 a certes permis une amélioration de la situation à travers une augmentation des interpellations et des saisies de marchandises. M. le député se réjouit également de l'expérimentation de la police de sécurité du quotidien à partir de 2019. Mais, cette décision inédite, qui condamne l'État et la ville, et qui peut faire jurisprudence, doit conduire à en tirer toutes les conclusions pour apporter une réponse durable. Paris ne peut demeurer plus longtemps enfermée dans le carcan de l'arrêté du 12 messidor an VIII. Il est aujourd'hui indispensable de mener une réforme structurelle de l'organisation de la sécurité dans la capitale. Cela passe notamment par la création d'une police municipale. C'est l'intérêt de la ville de Paris que d'assumer pleinement ses responsabilités en la matière, telles que l'occupation illégale du domaine public et la lutte contre les incivilités. C'est l'intérêt de l'État, qui pourra se concentrer plus efficacement sur ses missions de police nationale, notamment la remontée des filières mafieuses. C'est surtout l'intérêt des Parisiennes et des Parisiens de bénéficier d'un service de tranquillité et de sécurité comme dans toutes les autres grandes villes de France. On ne peut plus se contenter d'ajustements, il est temps d'avancer de manière constructive. Il lui demande s'il est prêt à initier un dialogue avec la ville de Paris pour la modernisation de la sécurité dans la capitale et à créer les conditions d'une police municipale à Paris."
525,526,M. Stéphane Demilly,Transition écologique et solidaire,08/01/2019,"M. Stéphane Demilly interroge M. le ministre d'État, ministre de la transition écologique et solidaire, sur l'arrêté du 8 octobre 2018 fixant les règles générales de détention d'animaux d'espèces non domestiques. Ce dernier établit, en effet, les nouvelles règles de détention des espèces animales de la faune sauvage (faune non domestique détenue en captivité). Un collectif d'associations expertes de la protection de la biodiversité, dont le travail est largement respecté (One Voice, Sea Shepherd France, Le Biome, Centre Athenas, Wildlife Angel), et impliqué dans la lutte contre le trafic de la faune sauvage, se mobilise depuis de longs mois afin de tirer la sonnette d'alarme sur les conséquences de cette nouvelle réglementation et tente, en vain, de sensibiliser le Gouvernement sur le sujet. Ils ont d'ailleurs contesté cet arrêté devant le Conseil d'État. Désormais, de nombreuses espèces très rares, représentées dans la nature parfois par quelques dizaines d'individus, pourraient être détenues sur simple télé-déclaration au prétexte de simplification administrative. Pour certaines d'entre elles, il n'existe aucun cheptel captif. Ces nouvelles règles risquent ainsi de créer un appel d'air et de relancer le marché de l'animal exotique à l'origine du trafic, qui est, la deuxième cause d'érosion de la biodiversité. De plus, les nouvelles modifications règlementaires suppriment plusieurs mesures obligatoires que doivent respecter les établissements détenant des animaux de la faune sauvage en captivité. D'après ces associations, cette modification rendrait les contrôles impossibles et favoriserait le blanchiment d'animaux illégalement détenus, blanchiment qui est, depuis une dizaine d'années, le nouveau visage du trafic de la faune sauvage en Europe. Enfin, cette nouvelle règlementation ne respecte pas le principe de non régression édicté à l'article 2 de la récente loi pour la reconquête de la biodiversité et n'est pas compatible avec les accords internationaux ratifiés par la France. La France est un des principaux pays consommateur d'espèces issues du trafic. De nombreuses affaires l'ont mis en évidence dernièrement. Il lui demande donc de recevoir ces associations sans tarder. Elles n'ont eu de cesse de solliciter un entretien avec son prédécesseur, sans succès. Il lui demande également les corrections qu'il envisage d'apporter à cet arrêté, afin de le mettre en cohérence avec l'impérieuse exigence de protection de la biodiversité."
526,527,M. Nicolas Dupont-Aignan,Premier ministre,08/01/2019,"M. Nicolas Dupont-Aignan appelle l'attention de M. le Premier ministre sur les différents scandales révélés par l'association L214 qui ont mis en lumière les pratiques scandaleuses auxquelles se livrent certains abattoirs dans le pays. L'opinion s'est émue à juste titre de ce mépris pour la souffrance animale, au point que certains mouvements ont pris prétexte de ces actes barbares pour promouvoir une alimentation sans viande. Depuis 1964, un décret rend obligatoire l'étourdissement des animaux de boucherie avant leur mise à mort. Ce texte a été repris par plusieurs directives européennes et le règlement n° 1099/2009 du Conseil européen a réaffirmé cette obligation d'étourdissement. Toutefois, il a été admis que des dérogations pourraient être accordées en ce qui concerne les méthodes d'abattage prescrites par les rites religieux. En France, ce régime dérogatoire s'applique en particulier, aux rites juifs et musulmans. Or, selon une enquête de l'œuvre d'assistance aux bêtes d'abattoirs (OABA), plus de la moitié des établissements pratiqueraient l'abattage sans étourdissement. La Chambre interdépartementale d'agriculture d'Île-de-France estime d'ailleurs, que le nombre d'animaux abattus selon le rituel religieux dépasserait largement les besoins des minorités religieuses concernées. Cette situation s'expliquerait par le fait que les parties des viandes qui ne sont pas consommées par les croyants, se retrouvent vendues dans le circuit commercial conventionnel pour des raisons économiques évidentes. Si l'on peut admettre, au nom du principe constitutionnel de liberté de conscience et de religion, qu'il faut garantir aux croyants la possibilité de consommer de la viande issue d'abattages rituels, on doit, au nom de ce même principe, garantir aux non croyants, qu'ils ne consomment pas ce type de viande à leur insu. Aussi, dans l'attente du dialogue que le Président de le République s'était engagé à nouer avec les représentants des cultes juifs et musulmans, pour mettre progressivement fin à l'abattage sans étourdissement, comme le demandent les associations de défense du bien-être animal, il conviendrait de passer par une étape transitoire permettant de rendre obligatoire l'étiquetage des modes d'abattage des animaux de boucherie. Le consommateur doit être informé en toute transparence de la nature du produit carné qu'il consomme, libre à lui ensuite de choisir selon ses convictions et ses croyances. Il souhaiterait savoir si M. le Premier ministre est prêt à prendre un décret dans ce sens."
527,528,M. José Evrard,Justice,08/01/2019,"M. José Evrard attire l'attention de Mme la garde des sceaux, ministre de la justice, sur la situation de l'administration de la justice. En demandant à son administration de la justice d'être sévère à l'égard des « Gilets jaunes », le Président de la République rappelle le peu de cas que la tête de l'État se fait de l'indépendance, proclamée à tous les instants, de la justice. Or la justice est un idéal qui ne se réduit pas à l'indépendance. Indépendance théorique aussi bien que pratique car l'administration de la justice n'est pas un pouvoir mais une autorité dépendante de l'exécutif. Dans le contexte présent, l'administration de la justice cumule le mécontentement, pour le moins, des Français vis-à-vis de leurs dirigeants, de l'État en général, ainsi que leur méfiance vis-à-vis d'un corps dont ils ne comprennent ni les codes, ni les décisions. L'état de droit est ainsi considéré par les Français comme quelque chose toujours plus éloigné de leurs préoccupations et au service d'un petit nombre de privilégiés. Si un doute subsistait encore, les récentes démonstrations judiciaires de la campagne de l'élection présidentielle ont démontré qu'il existait bien deux poids et deux mesures dans ce domaine et que ceux-ci pouvaient exercer leurs ravages dans la zone théoriquement protégée du débat démocratique. La mise sous le même vocable de justice, de l'action de poursuivre et de l'action de juger ressort de l'ambiguïté française. C'est le règne de la confusion des genres. Les difficultés dans lesquelles se débat le Gouvernement, le pouvoir au sens large, aujourd'hui tiennent en grande part à l'usage dont fût fait lors de la campagne présidentielle de l'administration de la justice, en particulier du parquet national financier. Le problème, compte tenu de cet antécédent, n'est plus de se demander comment cela fût possible, mais de se demander comment faire pour que cela ne se reproduise plus jamais. La réponse se trouve donc dans l'organisation de la justice. Depuis plus de quarante ans des voix s'élèvent pour faire en sorte que l'indépendance de la justice ne soit pas un vain mot. Les réformes ont succédé aux réformes se proposant de l'atteindre, aucune n'a obtenu un commencement de mise en œuvre. En réalité, c'est la base sur laquelle repose la justice française qui doit être revue. Il ne pourra y avoir de justice indépendante sans remise en cause de la tutelle qui pèse sur la justice qui se rend dans les tribunaux. La mise en œuvre d'un pouvoir judiciaire est à l'ordre du jour dans les faits, n'est-il pas temps de mettre celui-ci en mouvement. Certes, ce changement est du domaine constitutionnel, un référendum sur ce sujet a toute sa place dans la République française. Il lui demande quelle est la position du Gouvernement sur cette question."
